Variable,MAE,RMSE,R2
ptend_t,2.883470004754216,4.691738231844048,0.5298491786893071
ptend_q0001,4.730862159304213,7.592682300504404,-inf
cam_out_NETSW,18.64284909648926,31.278624301527923,0.9727825126844364
cam_out_FLWDS,5.631634524718763,7.485554850165315,0.916516860182535
cam_out_PRECSC,3.1992034265635696,5.326511104215836,-inf
cam_out_PRECC,39.28013334000783,79.28304187672354,-940.9859662301375
cam_out_SOLS,10.12029855914996,19.463598848235456,0.9501001817651199
cam_out_SOLL,12.761517389113658,24.06157610533087,0.935551585603526
cam_out_SOLSD,6.188249131720176,10.688506966805305,0.9434217210242273
cam_out_SOLLD,5.703691040704406,10.976026175676713,0.8422173731465338
