Variable,MAE,RMSE,R2
ptend_t,3.0226527309701976,4.857147493430768,0.4255919321725559
ptend_q0001,4.825380473131253,7.725539186522156,-inf
cam_out_NETSW,17.355863174373752,32.65197274708535,0.9697345305006325
cam_out_FLWDS,6.572318702854389,8.528995846497095,0.891057268465194
cam_out_PRECSC,3.5693512601374935,5.7821157438932325,-inf
cam_out_PRECC,40.91903950372748,85.65794162826292,-499.87915791211543
cam_out_SOLS,9.616813315312553,20.35458679649507,0.9449782586878551
cam_out_SOLL,12.18415733488222,24.981213435894492,0.930136479784526
cam_out_SOLSD,5.7229643247237005,11.144138595901042,0.9381159712436588
cam_out_SOLLD,5.567347360905525,11.360391319455951,0.8312745267320264
