output_idx,MAE,RMSE,R2
0,0.004413801063606509,0.006601488464879682,0.749820557638957
1,0.009012952996628739,0.013229982519124509,0.8457248508082582
2,0.01419101349440692,0.01980843096348282,0.9266713512570197
3,0.024511909191072115,0.03222232653814463,0.9640274944809972
4,0.0455600816391765,0.05747226478116504,0.9752056813228392
5,0.08137243188277826,0.10270837831733044,0.9786067004369315
6,0.11753867841645611,0.15132162317381528,0.9781214553048961
7,0.15063532780719513,0.19072051578572247,0.972485868154923
8,0.14910586060671369,0.1898509104406596,0.9671359416699317
9,0.16242748178044766,0.20798420043518462,0.9623810710999191
10,0.19193483702961492,0.24488091775422996,0.9454330744671164
11,0.20675549042317007,0.2635580659323877,0.9363925451388347
12,0.21097589319309784,0.2673586182259797,0.9286480699974633
13,0.23609535489906738,0.2963316632036886,0.9050615804175574
14,0.27421298632368285,0.34229919416939564,0.8443379440462174
15,0.35082746972050155,0.43908998079748657,0.6772624009447167
16,0.3610194113090914,0.5022278218407185,0.5536743819222946
17,0.5329184571057187,0.8640020140068034,0.188902837865934
18,0.859074367348421,1.4707637933924176,-0.039704951542324854
19,1.1792669985719562,2.085473017441085,-0.07979652862071973
20,1.3333629980831991,2.358190590047851,-0.023700379908525943
21,1.437415583742416,2.6131007453477944,0.025239495615162682
22,1.730246171981581,3.0291950958916893,-0.03593681334936608
23,1.8484153445785427,3.3087673939076487,0.027761208940877607
24,2.149085438748332,3.670071573517113,-0.07746416572063906
25,2.466699530393437,4.052771080790723,-0.7210397932512637
26,2.451985266190853,4.190244918307991,0.02792534796578901
27,2.7560663318297127,4.610097095294706,0.086390202852004
28,2.8451304900964076,4.988131981146881,0.3516027438451576
29,3.28033190678204,5.656366803764797,0.12220220410234707
30,3.4464408583288257,6.188390328323076,0.47635672759276476
31,3.780194265158755,6.860144573376362,0.5161001903301176
32,4.159716481161238,7.622402864044617,0.5126656551345027
33,4.615358115921752,8.422427052715962,0.5130605175335773
34,5.0200089407192685,9.192971149694054,0.4951371538165608
35,5.52114258594148,9.980888489437891,0.44697660186171323
36,6.461303317600989,10.990081521713066,0.11714686901272274
37,6.356273997673401,11.142195934822224,0.40256034091195464
38,6.588184727840802,11.38940940852809,0.43181559527930413
39,6.91980683709624,11.5675334800351,0.34772641460283077
40,6.856408276655249,11.327271573233824,0.392571367756348
41,7.072150711678827,11.288669415118179,0.2592893612788227
42,6.994530245993386,10.954142777675392,0.28421929954785713
43,6.92067692966127,10.659398841356518,0.28750647412637426
44,6.893922847138481,10.267181387536166,0.30823211766437586
45,6.649997488643593,9.880235738311919,0.3155619211549237
46,6.934319569545269,9.878162923112285,0.06689902695504185
47,6.559752275494728,9.250930987319862,0.11634652510671123
48,5.91055826075775,8.3575758541488,0.21050302077033892
49,5.316855997468527,7.553158376833004,0.2707869739661781
50,4.892189165904483,6.926302252651524,0.2648026997987103
51,4.5236800688098295,6.3953531597258,0.258854170978607
52,4.214771145638154,5.973685679639639,0.2588001893740309
53,3.9407975310784487,5.629404162812944,0.2554786866085071
54,3.944697934415976,5.565117200741611,0.1731354174817468
55,3.6851747373893677,5.383151492919015,0.20227679558445932
56,3.6775166157800956,5.451186587039428,0.16789496202429796
57,3.581369283882944,5.389842639717351,0.20718529500510088
58,3.6458412472549484,5.533296395298798,0.2846107883006164
59,4.495363256681067,6.5895865212910465,0.44813781660890056
60,6.462917389364945e-06,8.089290216724206e-06,-inf
61,2.0737170580737067e-06,2.2779044178807606e-06,-inf
62,9.920990170413976e-06,1.2784411507595475e-05,-inf
63,0.001316745133839994,0.0015233377635123543,-inf
64,0.00027186316974580753,0.00032178936550178477,-inf
65,9.560976739803424e-06,1.2131597650667275e-05,-inf
66,4.64630364832495e-05,5.641388895727116e-05,-inf
67,0.000148957594196284,0.00018728813251816495,-inf
68,0.001076301302976159,0.0012217959812970624,-inf
69,0.004549115285689117,0.005087996485241836,-inf
70,0.012841984808969142,0.015050291199410265,-inf
71,0.009611608063317364,0.011179635142538757,-inf
72,0.002471845747617113,0.003235328305785876,-10157342.791515628
73,0.009475803102476013,0.011732568540778572,-68282891.78653572
74,0.0050740310175461855,0.00674829693013967,-576942.1863004103
75,0.01574808120923671,0.02073387346297384,-150687.84356171204
76,0.02294858233341879,0.02713664246371354,-37501.42748777324
77,0.007224677970971142,0.010139353784855228,-157.21784766897238
78,0.009123608686319158,0.014677680756012433,-22.726576889589065
79,0.024156735789091457,0.038448564202081946,-32.85732674154318
80,0.04269687009334434,0.07286962634653736,-7.413113278424151
81,0.09318453609051736,0.16358112320620521,-11.95233581843299
82,0.2367344039251389,0.3808248764833488,-27.293465028983235
83,0.3357235998873807,0.5955689782482496,-17.113286010935852
84,1.0820349706276267,1.392984411480646,-107.36220229790587
85,0.7542581141199908,1.3880857232885397,-8.593252893470934
86,1.044252165702098,1.9093211421806071,-17.166170379701402
87,1.3876156200775982,2.506200562810173,-12.22539014712261
88,1.894907009756946,3.2117810034663723,-20.290314147053405
89,2.751116317943962,4.326625854980776,-19.250373869419125
90,2.941331369855266,4.943372690948181,-8.991529110797376
91,3.0072367521064876,5.58595946659301,-1.2839207341696555
92,3.8808978492216486,6.862343674240118,-2.384302138969953
93,4.170237097571147,7.898907662207949,-0.4937660002928516
94,5.202358649120099,9.461315335021672,-1.266308123597274
95,5.640947353977346,10.904621912031255,0.09690623325822223
96,6.677882146018454,12.710271162187482,0.06011089103339551
97,8.033249135327022,14.734930762206295,-0.2537839210159801
98,8.51893228502004,16.199796910812292,0.17946519458491692
99,9.720166426985125,18.076302066190365,-0.08721462947096736
100,10.610415394017762,19.269716123847555,0.09009965914585877
101,11.580140395593537,20.431598394594378,-0.279040390436687
102,12.766193835323156,21.400826640651445,-0.5222717997682157
103,13.411781588638268,21.97032050694752,-0.09996355016000275
104,14.236443407323245,22.47382616582388,-0.21239983027597387
105,14.46784683348564,22.424725378540774,-0.026818013041907257
106,14.615678623462978,22.1961841286689,-0.20794457484973564
107,15.199095121759994,22.035932570861473,-0.8399713246253006
108,14.598328712299201,20.87317763284486,-0.5197114584182962
109,13.487310745001857,19.336996406295686,-0.11116612222414689
110,12.413677277171184,17.84494252360456,0.09451123744336659
111,11.82625292325024,16.75544535002996,0.027852356452803467
112,11.139744308212741,15.758481624614042,0.15887921585019177
113,10.609483576692114,14.940409568522256,0.19105172412503083
114,10.003270823355006,14.04982968324615,0.18342588192219136
115,9.227912884937039,13.053080829059676,0.20364329547606244
116,8.569986813006217,12.157385169520373,0.1750165680724497
117,7.727417172173145,10.998201655555343,0.1879970321306066
118,7.393567799819984,10.366450981586986,0.17177790491697764
119,7.106015470426082,9.948473122760811,0.1471068637414894
120,17.93982178055267,34.148026827828836,0.9662265793356314
121,7.301823591736663,9.322110249091194,0.8675051883980305
122,6.902014299158076,11.274520829319703,-0.5293919132391077
123,42.48115380626342,84.58314549463523,-93.82954186732196
124,9.864983771221569,20.75876206828328,0.9429019748703436
125,12.256670662326806,25.27579481122196,0.92766807374131
126,5.947963985664181,11.655399463816073,0.9321567223655296
127,6.225658780037982,12.118516540439648,0.8055067549950404
