Variable,MAE,RMSE,R2
ptend_t,3.1173265597424074,4.963915687589575,0.4042668559011883
ptend_q0001,4.975540680037166,7.862986425701929,-inf
cam_out_NETSW,17.93982178055267,34.148026827828836,0.9662265793356314
cam_out_FLWDS,7.301823591736663,9.322110249091194,0.8675051883980305
cam_out_PRECSC,6.902014299158076,11.274520829319703,-0.5293919132391077
cam_out_PRECC,42.48115380626342,84.58314549463523,-93.82954186732196
cam_out_SOLS,9.864983771221569,20.75876206828328,0.9429019748703436
cam_out_SOLL,12.256670662326806,25.27579481122196,0.92766807374131
cam_out_SOLSD,5.947963985664181,11.655399463816073,0.9321567223655296
cam_out_SOLLD,6.225658780037982,12.118516540439648,0.8055067549950404
