Variable,MAE,RMSE,R2
ptend_t,3.1459451665428917,5.445448033495902,0.46151803242434963
ptend_q0001,4.91840005004633,8.161081311192985,-inf
cam_out_NETSW,28.486741575887763,52.85564454194837,0.9036248841786175
cam_out_FLWDS,13.281561156577714,16.789503236400105,0.6429189424476166
cam_out_PRECSC,4.46814103572547,7.984248882039516,-inf
cam_out_PRECC,72.88883607529141,164.13469603039096,-0.3821427683296639
cam_out_SOLS,15.740167404931336,31.783089153731325,0.8653460757058777
cam_out_SOLL,18.69888341491585,37.15557082375717,0.8454921549114038
cam_out_SOLSD,8.237704606603122,16.50331427926965,0.8651696066318814
cam_out_SOLLD,7.747308789818568,15.739087551016427,0.6755160259206408
