Variable,MAE,RMSE,R2
ptend_t,3.201072752086529,5.146521898522958,0.4010113779687385
ptend_q0001,5.00065594115989,8.008184436773629,-inf
cam_out_NETSW,19.20076892536256,35.16154727160227,0.9578793126395988
cam_out_FLWDS,9.197850674623444,11.943543535185356,0.6992773097221368
cam_out_PRECSC,4.236956348106813,6.63866739806386,-inf
cam_out_PRECC,44.77812113038542,88.1876512921757,-294.47601904022
cam_out_SOLS,10.254313738142224,20.97989775549958,0.9409581263068367
cam_out_SOLL,12.911458056297446,25.67284935126342,0.9241567806067321
cam_out_SOLSD,6.274208727048901,11.912233737434597,0.9300244267988238
cam_out_SOLLD,6.038881635239794,11.821194949302305,0.8173560584229144
