output_idx,MAE,RMSE,R2
0,0.0041547544765632586,0.00666930500364933,0.7337218168848313
1,0.014369248143513499,0.019534249498827688,0.6659327678245183
2,0.020977595660528037,0.029579296594446802,0.8361305359507916
3,0.032721977873960056,0.04621176379961558,0.9229732366933795
4,0.05823268213684992,0.07833869009413515,0.9515475033975821
5,0.11131246343650995,0.14404627740737255,0.9497547108777686
6,0.17284465080005607,0.2199541162409695,0.9427148945702326
7,0.2056177121120082,0.2635350326636637,0.9332388553621446
8,0.1900682900128227,0.24696344363667577,0.9268553886643692
9,0.2103383253048613,0.27335028034272785,0.9147028559562725
10,0.2314593976459908,0.2977313579253867,0.9016509164552401
11,0.25448483714161907,0.3225140788799218,0.8880750814960822
12,0.27513080249475375,0.34344063183481205,0.8698542772400047
13,0.30216497189800445,0.374842195703442,0.8436400622923053
14,0.32001807613783567,0.3977410279055531,0.792343381427385
15,0.3417334494452651,0.4335662649228582,0.6957661349916272
16,0.37654223985475377,0.5214788394952676,0.5259011546612594
17,0.6525582213125798,0.9690268895173141,-0.0540079892929112
18,0.8071312178896891,1.4341717544681123,0.07081260646529433
19,1.1750577556234967,2.0900273553978557,-0.09648826509821574
20,1.2731140725409087,2.3259492189155444,0.0017726986979061988
21,1.5501159022431674,2.679682808291655,-0.09351447055690397
22,1.546341976666005,2.911060227020066,0.12635390293844864
23,1.8642679808512472,3.38059734807015,0.021425754382274897
24,2.110665002387523,3.73996521302117,0.07566996230654524
25,2.365651630150044,4.135054889010932,0.039318370496950895
26,2.4816726592412235,4.3858728349388185,0.252327548275245
27,2.713375325203554,4.789152794238677,0.2821563314774498
28,3.1022292173419808,5.425549583350542,0.21480881655381592
29,3.3790975522855793,6.000134786128709,0.33921141736988286
30,3.726848189648166,6.694324055671111,0.3683286789652687
31,4.097173472731804,7.409050827083568,0.4278537582056272
32,4.645126757209024,8.281995685356856,0.28523294159692003
33,4.972620049952659,9.009631732492323,0.3467523836403316
34,5.367219951015012,9.777847867480038,0.44714515686897566
35,5.804492111937901,10.50869724179848,0.4534023382976666
36,6.1831413264545025,11.124943128808901,0.44576586717791344
37,6.502280871545019,11.57910321467165,0.4218016300134775
38,6.754243475441155,11.8364533394137,0.38576344809575014
39,6.8997993123267465,11.849942462980644,0.36815566329734645
40,6.925304165009993,11.669068903636882,0.35099161704927595
41,7.041239224028409,11.46650161261447,0.3078350505115694
42,7.001443382795223,11.162376710134923,0.28881617346927174
43,6.9354128253876395,10.853649190996506,0.28140689837519706
44,6.920534899087129,10.560664377081459,0.2744739172052573
45,6.8872460376112485,10.264316641912165,0.25576138495107953
46,6.684509166660297,9.802113097796544,0.23996936132594104
47,6.365941395558387,9.204008028078514,0.22192108220867035
48,5.941216030233854,8.48489270886965,0.22461619480635817
49,5.463786811848597,7.741568752697414,0.23177300158510783
50,5.0230200688867495,7.0939772185916965,0.23168971655283402
51,4.682701781468097,6.577767721403778,0.2195445780392596
52,4.396590232140118,6.155581615641823,0.2155592007860787
53,4.144202275794474,5.837583230324674,0.20115628970913538
54,3.9406302192014953,5.605026082127762,0.1840872455884119
55,3.803523107603946,5.492611248973439,0.1662182546898987
56,3.7647271401169724,5.497639565778307,0.14541493976390837
57,3.7811333641916556,5.5574637599746834,0.14682762256834245
58,3.9120589232878906,5.829489039535768,0.20483588936495992
59,5.352748567704654,7.577282295130896,0.24293213465289143
60,1.003540343631848e-05,1.1833477431418268e-05,-inf
61,2.7235403462157404e-05,3.069608383626158e-05,-inf
62,1.2975432068527368e-05,1.7351054663426462e-05,-inf
63,0.00012612242755231302,0.00017534727638784868,-inf
64,0.00012865326266783928,0.00017346357527108403,-inf
65,0.000606479890707109,0.000722936658304819,-inf
66,0.0005986374537405699,0.0006985878565251609,-inf
67,0.0007018861691577783,0.0008938676496520916,-inf
68,0.000751029867774531,0.000843855131830435,-inf
69,0.003956778666100584,0.0053881303262544485,-inf
70,0.0015930975699118873,0.0019264289352824522,-inf
71,0.0006537829182339853,0.0007750218617793523,-inf
72,0.0026806354651655318,0.003151404958396869,-19650087.614856865
73,0.004689539084556728,0.005525305169489365,-4201098.527916831
74,0.007685311864215273,0.008860724140074468,-419054.4221594645
75,0.0012708475247569912,0.003094416626688374,-833.0177581070039
76,0.011111190996716147,0.0151055855202432,-13580.670068347425
77,0.007080438777330796,0.010287808159880075,-117.82030536329353
78,0.01207229382245463,0.017462670544441578,-87.72823534738683
79,0.04364204786745309,0.0662333364077697,-159.08922471857315
80,0.05748936887553683,0.08877630353223263,-24.756464515292134
81,0.09316031718825556,0.16681345486337715,-12.369102884284764
82,0.2067678675960358,0.35584935166951315,-11.995506132716132
83,0.3371735791254176,0.6119934458154659,-12.800614038541381
84,0.5982534755800532,1.0705814787304282,-32.298523832601056
85,0.7933350582732391,1.4904712894365872,-2.5194211052313578
86,1.005455058709943,1.9817675824249505,-1.1622388028521338
87,1.3655705595093126,2.607819608614853,-6.575344245949879
88,1.707422546663769,3.2185680788403235,-6.5440878024427285
89,2.0766913794871904,3.957839327008356,-4.635480293816399
90,2.507060923442143,4.823998260305282,-3.648060541125664
91,2.9605179654789056,5.761471052786895,-1.1908673088555777
92,3.454237366876663,6.795394025424005,0.27876560040652937
93,4.2658567513145345,8.140889071727047,-0.760472516441847
94,4.9488266799477545,9.543000911500268,0.05078257582156579
95,5.953923021107992,11.26473851628223,0.047004062495719034
96,6.698102458705319,12.838711032329263,0.12197814141609808
97,7.590085538795766,14.598525857785432,0.14941814281600285
98,8.704727017938268,16.465004211750102,0.14364686294691018
99,9.830657836582416,18.231579454303045,0.06407275592193014
100,10.676795724554461,19.5122067027695,0.1654962826196071
101,11.76814268997711,20.79982406321312,0.08837936042233845
102,12.731991652276369,21.665816790622628,0.07576043632829481
103,13.633952679498096,22.391312693309217,0.08951337863480736
104,14.220045597891678,22.815014445081555,0.06258320210367145
105,14.76027190390335,22.992161627382842,0.07831732133730329
106,14.935918881416228,22.745202870511374,0.04826288707290843
107,14.955879175419739,22.223413267946686,-0.004178773295341741
108,14.292088592865321,21.025674526409105,0.06855913732587184
109,13.496942107517713,19.662521681878143,0.09053951240167761
110,12.680301500751442,18.27313978419775,0.11377655180906365
111,12.044580180967941,17.15887265422081,0.1180124118500729
112,11.457608391344555,16.163891005584983,0.13508683580595612
113,10.903162480907612,15.287669572166024,0.15263355780331023
114,10.49090215355915,14.591736713971576,0.12121407665299004
115,9.722946273422037,13.57571253713382,0.12709695425040266
116,8.925389342651636,12.54673645525579,0.10698826818672186
117,8.034321775094071,11.432462597943172,0.10716768589096486
118,7.575905602230031,10.826826483260556,0.11740139695034235
119,7.477495972278931,10.645698647015195,0.06298511704193009
120,19.20076892536256,35.16154727160227,0.9578793126395988
121,9.197850674623444,11.943543535185356,0.6992773097221368
122,4.236956348106813,6.63866739806386,-inf
123,44.77812113038542,88.1876512921757,-294.47601904022
124,10.254313738142224,20.97989775549958,0.9409581263068367
125,12.911458056297446,25.67284935126342,0.9241567806067321
126,6.274208727048901,11.912233737434597,0.9300244267988238
127,6.038881635239794,11.821194949302305,0.8173560584229144
