Variable,MAE,RMSE,R2
ptend_t,2.99638401717642,4.848823812314149,0.4728555359224022
ptend_q0001,4.898974048076321,7.809909515705985,-inf
cam_out_NETSW,17.15842921306173,31.809513306110954,0.9730699469756194
cam_out_FLWDS,5.720242121437217,7.548039140892551,0.9177605867818315
cam_out_PRECSC,3.5736559754502006,5.597675620349051,-inf
cam_out_PRECC,41.20105264817165,80.87130714949946,-479.17847067833617
cam_out_SOLS,10.480944056722056,20.534872513073523,0.9444909262687151
cam_out_SOLL,12.529624463472238,24.769405437087766,0.9318234673121856
cam_out_SOLSD,5.825875907647219,11.066937994927017,0.9393665618745866
cam_out_SOLLD,5.945397563691518,11.448033763410544,0.8288170664976287
